Date,Close,Άνοιγμα,Υψηλό,Χαμηλό,Όγκος,Αλλ.%
07.03.2024,"39.598,71","40.331,06","40.472,11","39.518,40","1,37B","-1,23%"
06.03.2024,"40.090,78","39.792,37","40.147,77","39.769,04","1,13B","-0,02%"
05.03.2024,"40.097,63","39.881,73","40.226,99","39.840,34","1,15B","-0,03%"
04.03.2024,"40.109,23","40.201,76","40.314,64","40.001,55","1,19B","0,50%"
01.03.2024,"39.910,82","39.254,69","39.990,23","39.224,64","1,23B","1,90%"
29.02.2024,"39.166,19","38.935,53","39.250,12","38.876,81","1,66B","-0,11%"
28.02.2024,"39.208,03","39.189,22","39.283,95","39.075,47","1,20B","-0,08%"
27.02.2024,"39.239,52","39.260,78","39.426,29","39.113,03","1,19B","0,01%"
26.02.2024,"39.233,71","39.320,64","39.388,08","39.181,03","1,26B","0,35%"
22.02.2024,"39.098,68","38.508,07","39.156,97","38.508,07","1,23B","2,19%"
21.02.2024,"38.262,16","38.191,97","38.339,70","38.095,15","1,05B","-0,26%"
20.02.2024,"38.363,61","38.510,37","38.742,33","38.288,04","1,08B","-0,28%"
19.02.2024,"38.470,38","38.473,41","38.555,84","38.281,70","1,02B","-0,04%"
16.02.2024,"38.487,24","38.517,37","38.865,06","38.361,55","1,52B","0,86%"
15.02.2024,"38.157,94","38.017,83","38.188,74","37.935,36","1,30B","1,21%"
14.02.2024,"37.703,32","37.712,87","37.825,85","37.594,47","1,20B","-0,69%"
13.02.2024,"37.963,97","37.248,36","38.010,69","37.184,10","1,41B","2,89%"
09.02.2024,"36.897,42","36.915,44","37.287,26","36.807,03","1,47B","0,09%"
08.02.2024,"36.863,28","36.258,84","36.956,97","36.206,20","1,51B","2,06%"
07.02.2024,"36.119,92","36.002,99","36.195,50","35.854,63","1,27B","-0,11%"
06.02.2024,"36.160,66","36.249,08","36.294,48","36.065,98","1,35B","-0,53%"
05.02.2024,"36.354,16","36.419,34","36.452,62","36.213,00","1,31B","0,54%"
02.02.2024,"36.158,02","36.249,99","36.441,09","36.083,61","1,15B","0,41%"
01.02.2024,"36.011,46","36.008,56","36.146,36","35.924,60","1,18B","-0,76%"
31.01.2024,"36.286,71","35.747,89","36.292,53","35.704,58","1,11B","0,61%"
30.01.2024,"36.065,86","36.196,64","36.249,03","36.039,31","878,99M","0,11%"
29.01.2024,"36.026,94","35.814,29","36.186,87","35.813,77","955,09M","0,77%"
26.01.2024,"35.751,07","36.003,00","36.060,40","35.687,58","1,10B","-1,34%"
25.01.2024,"36.236,47","36.213,14","36.312,36","35.912,54","945,90M","0,03%"
24.01.2024,"36.226,48","36.415,66","36.471,39","36.104,89","1,09B","-0,80%"
23.01.2024,"36.517,57","36.605,30","36.984,51","36.436,07","1,11B","-0,08%"
22.01.2024,"36.546,95","36.294,10","36.571,80","36.225,91","1,00B","1,62%"
19.01.2024,"35.963,27","35.913,72","36.076,23","35.790,07","1,04B","1,40%"
18.01.2024,"35.466,17","35.371,25","35.728,09","35.371,25","1,00B","-0,03%"
