Date,Close,Open,High,Low,Vol.,Change %
06/30/2023,13787.92,13719.98,13816.67,13716.16,1.07B,1.45%
06/29/2023,13591.33,13592.36,13618.53,13540.26,871.64M,0.00%
06/28/2023,13591.75,13506.02,13654.14,13495.73,890.52M,0.27%
06/27/2023,13555.67,13389.25,13578.8,13366.97,966.18M,1.65%
06/26/2023,13335.78,13468.75,13573.57,13334.42,936.28M,-1.16%
06/23/2023,13492.52,13484.1,13572.18,13442.65,3.36B,-1.01%
06/22/2023,13630.61,13443.41,13631.85,13441.56,898.27M,0.95%
06/21/2023,13502.2,13620.87,13638.57,13460.94,1.06B,-1.21%
06/20/2023,13667.29,13642.29,13711.18,13561.84,1.13B,-0.16%
06/16/2023,13689.57,13859.07,13864.06,13680.96,2.92B,-0.68%
06/15/2023,13782.82,13572.88,13828.17,13561.37,1.13B,1.15%
06/14/2023,13626.48,13570.56,13661.74,13455.99,1.16B,0.39%
06/13/2023,13573.32,13566.53,13594.4,13473.19,1.04B,0.83%
06/12/2023,13461.92,13326.37,13465.91,13302.58,974.53M,1.53%
06/09/2023,13259.14,13312.39,13385.95,13229.33,899.24M,0.16%
06/08/2023,13238.52,13113.27,13248.6,13101.18,873.24M,1.02%
06/07/2023,13104.89,13295.26,13361.9,13089.48,1.11B,-1.29%
06/06/2023,13276.42,13199.59,13306.21,13165.65,978.70M,0.36%
06/05/2023,13229.43,13238.48,13330.65,13194.95,887.68M,-0.09%
06/02/2023,13240.77,13190.48,13256.21,13125.86,941.89M,1.07%
06/01/2023,13100.98,12944.46,13141.83,12903.63,957.13M,1.28%
05/31/2023,12935.29,12968.38,13029.08,12889.37,1.94B,-0.63%
05/30/2023,13017.43,13109.1,13154.29,12968.12,969.21M,0.32%
05/26/2023,12975.69,12736.42,13001.91,12729.74,914.77M,2.19%
05/25/2023,12698.09,12706.44,12736.92,12604.89,970.49M,1.71%
05/24/2023,12484.16,12481.89,12529.63,12415.85,842.72M,-0.61%
05/23/2023,12560.25,12652.88,12709.74,12554.43,899.73M,-1.26%
05/22/2023,12720.78,12664.44,12756.22,12655.26,886.96M,0.50%
05/19/2023,12657.9,12709.46,12731.73,12624.06,899.33M,-0.24%
05/18/2023,12688.84,12513.87,12698.5,12512.26,932.20M,1.51%
05/17/2023,12500.57,12388.58,12514.07,12335.02,936.60M,1.28%
05/16/2023,12343.05,12327.05,12403.81,12324.52,857.54M,-0.18%
05/15/2023,12365.21,12301.17,12376.4,12263.35,857.25M,0.66%
05/12/2023,12284.74,12350.52,12364.65,12209.58,865.59M,-0.35%
05/11/2023,12328.51,12321.26,12347.38,12255.44,934.31M,0.18%
05/10/2023,12306.44,12286.66,12337.69,12180.86,1.04B,1.04%
05/09/2023,12179.55,12195.78,12216.13,12174.06,899.76M,-0.63%
05/08/2023,12256.92,12231.68,12264.99,12178.26,882.60M,0.18%
05/05/2023,12235.41,12073.03,12264.83,12065.72,1.01B,2.25%
05/04/2023,11966.4,11997.34,12033.15,11925.37,1.01B,-0.49%
05/03/2023,12025.33,12097.04,12212.55,12022.46,1.09B,-0.46%
05/02/2023,12080.51,12198.02,12206.58,12015.22,1.05B,-1.08%
05/01/2023,12212.6,12210.05,12261.32,12181.08,926.58M,-0.11%
04/28/2023,12226.58,12117.54,12227.72,12082.57,1.07B,0.69%
04/27/2023,12142.24,11972.15,12154.01,11950.92,986.43M,2.43%
04/26/2023,11854.35,11913.23,11967.99,11833.07,973.40M,0.47%
04/25/2023,11799.16,11968.81,11990.46,11798.77,921.37M,-1.98%
04/24/2023,12037.2,12053.47,12103.58,11960.3,853.57M,-0.29%
04/21/2023,12072.46,12046.03,12097.15,11986.82,944.77M,0.11%
04/20/2023,12059.56,12039.08,12155.96,12011.95,899.17M,-0.80%
04/19/2023,12157.23,12063.68,12191.1,12060.17,879.49M,0.03%
04/18/2023,12153.41,12234.56,12245.43,12110.23,883.01M,-0.04%
04/17/2023,12157.72,12108.23,12159.02,12064.1,904.58M,0.28%
04/14/2023,12123.46,12117.91,12205.72,12026.55,874.14M,-0.35%
04/13/2023,12166.27,11997.42,12178.8,11995.94,921.41M,1.99%
04/12/2023,11929.34,12110.87,12134.5,11916.54,916.01M,-0.85%
04/11/2023,12031.88,12080.24,12091.27,12011.4,883.24M,-0.43%
04/10/2023,12084.36,11975.13,12084.95,11924.2,862.62M,-0.03%
04/06/2023,12087.96,11939.08,12098.5,11898.36,785.43M,0.76%
04/05/2023,11996.86,12081.76,12086.75,11931.84,894.37M,-1.07%
04/04/2023,12126.33,12208.49,12224.68,12081.81,877.51M,-0.52%
04/03/2023,12189.45,12146.09,12196.34,12086.52,950.52M,-0.27%
03/31/2023,12221.91,12031.54,12227.93,12030.44,1.16B,1.74%
03/30/2023,12013.47,12010.45,12044.79,11953.37,923.96M,0.73%
03/29/2023,11926.24,11855.59,11941.59,11823.35,915.05M,1.79%
03/28/2023,11716.08,11752.76,11752.76,11635.03,773.10M,-0.45%
03/27/2023,11768.84,11868.54,11903.21,11739.05,844.71M,-0.47%
03/24/2023,11823.96,11747.62,11826.23,11670.67,897.32M,0.31%
03/23/2023,11787.4,11811.32,11962.69,11684.52,1.00B,1.01%
03/22/2023,11669.96,11857.5,12013.99,11666.85,963.97M,-1.60%
03/21/2023,11860.11,11764.79,11879.16,11724.91,1.04B,1.58%
03/20/2023,11675.54,11614.39,11695.55,11550.69,1.08B,0.39%
03/17/2023,11630.51,11696.34,11773.11,11562.63,2.94B,-0.74%
03/16/2023,11717.28,11384.87,11733.8,11365.49,1.13B,2.48%
03/15/2023,11434.05,11291.17,11447.9,11238.44,1.22B,0.05%
03/14/2023,11428.15,11357.74,11467.01,11284.93,1.18B,2.14%
03/13/2023,11188.84,11041.46,11326.73,10982.8,1.31B,0.45%
03/10/2023,11138.89,11325.36,11373.81,11093.86,1.23B,-1.76%
03/09/2023,11338.36,11578.31,11667.12,11319.98,994.86M,-2.05%
03/08/2023,11576,11553.09,11601.23,11487.75,923.10M,0.40%
03/07/2023,11530.33,11670.98,11705.96,11512.03,973.96M,-1.25%
03/06/2023,11675.74,11736.87,11827.92,11667.48,977.57M,-0.11%
03/03/2023,11689.01,11524.65,11699.63,11514.74,965.05M,1.97%
