Date,Close,Άνοιγμα,Υψηλό,Χαμηλό,Όγκος,Αλλ.%
07.03.2023,7339.27,"7.355,87","7.398,03","7.336,20","64,09M","-0,46%"
06.03.2023,7373.21,"7.385,75","7.401,15","7.349,98","68,68M","0,34%"
03.03.2023,7348.12,"7.313,48","7.358,04","7.308,15","67,66M","0,88%"
02.03.2023,7284.22,"7.176,41","7.286,24","7.169,66","70,46M","0,69%"
01.03.2023,7234.25,"7.279,34","7.327,29","7.219,40","79,25M","-0,46%"
28.02.2023,7267.93,"7.253,54","7.317,98","7.249,47","102,73M","-0,38%"
27.02.2023,7295.55,"7.243,03","7.324,03","7.243,03","69,31M","1,51%"
24.02.2023,7187.27,"7.359,76","7.366,07","7.187,27","94,52M","-1,78%"
23.02.2023,7317.43,"7.309,03","7.357,68","7.301,42","79,94M","0,25%"
22.02.2023,7299.26,"7.282,49","7.307,82","7.231,63","83,81M","-0,13%"
21.02.2023,7308.65,"7.319,93","7.342,68","7.241,21","68,75M","-0,37%"
20.02.2023,7335.61,"7.361,21","7.363,41","7.318,73","48,62M","-0,16%"
17.02.2023,7347.72,"7.311,14","7.368,00","7.267,77","80,23M","-0,25%"
16.02.2023,7366.16,"7.346,30","7.387,29","7.325,75","91,73M","0,89%"
15.02.2023,7300.86,"7.206,83","7.318,78","7.200,73","75,50M","1,21%"
14.02.2023,7213.81,"7.225,30","7.271,48","7.204,51","73,28M","0,07%"
13.02.2023,7208.59,"7.147,48","7.213,94","7.138,91","57,94M","1,11%"
10.02.2023,7129.73,"7.165,41","7.182,92","7.074,63","79,15M","-0,82%"
09.02.2023,7188.36,"7.179,64","7.225,88","7.179,64","81,78M","0,96%"
08.02.2023,7119.83,"7.181,58","7.190,86","7.119,83","84,75M","-0,18%"
07.02.2023,7132.35,"7.145,84","7.154,51","7.108,46","73,51M","-0,07%"
06.02.2023,7137.1,"7.181,97","7.187,27","7.104,52","68,29M","-1,34%"
03.02.2023,7233.94,"7.136,40","7.233,94","7.113,42","89,99M","0,94%"
02.02.2023,7166.27,"7.110,03","7.184,69","7.079,41","95,95M","1,26%"
01.02.2023,7077.11,"7.087,20","7.110,21","7.059,61","63,65M","-0,07%"
31.01.2023,7082.42,"7.075,09","7.088,97","7.025,53","78,06M","0,01%"
30.01.2023,7082.01,"7.054,24","7.103,66","7.030,95","60,63M","-0,21%"
27.01.2023,7097.21,"7.085,47","7.117,48","7.062,69","68,17M","0,02%"
26.01.2023,7095.99,"7.095,11","7.117,53","7.078,02","68,51M","0,74%"
25.01.2023,7043.88,"7.057,82","7.070,84","6.999,93","55,62M","-0,09%"
24.01.2023,7050.48,"7.053,04","7.064,69","7.011,40","57,82M","0,26%"
23.01.2023,7032.02,"7.014,91","7.044,51","6.988,51","51,11M","0,52%"
20.01.2023,6995.99,"6.996,22","7.015,96","6.965,45","64,03M","0,63%"
19.01.2023,6951.87,"7.047,64","7.056,14","6.946,74","80,49M","-1,86%"
18.01.2023,7083.39,"7.073,62","7.115,20","7.072,45","68,10M","0,09%"
17.01.2023,7077.16,"7.036,91","7.104,90","7.020,82","82,34M","0,48%"
16.01.2023,7043.31,"7.036,48","7.052,52","7.016,32","56,44M","0,28%"
13.01.2023,7023.5,"6.989,59","7.035,82","6.977,86","76,36M","0,69%"
12.01.2023,6975.68,"6.947,34","7.015,70","6.946,30","82,17M","0,74%"
11.01.2023,6924.19,"6.879,10","6.946,67","6.874,71","76,44M","0,80%"
10.01.2023,6869.14,"6.882,01","6.885,44","6.845,81","64,47M","-0,55%"
09.01.2023,6907.36,"6.861,59","6.928,43","6.851,66","78,53M","0,68%"
06.01.2023,6860.95,"6.772,94","6.860,95","6.757,46","69,52M","1,47%"
05.01.2023,6761.5,"6.744,50","6.792,09","6.732,04","71,67M","-0,22%"
04.01.2023,6776.43,"6.660,60","6.780,83","6.659,83","94,39M","2,30%"
03.01.2023,6623.89,"6.580,09","6.696,10","6.580,09","73,99M","0,44%"
02.01.2023,6594.57,"6.521,07","6.601,11","6.518,21","47,39M","1,87%"
30.12.2022,6473.76,"6.533,12","6.540,51","6.470,64","42,84M","-1,52%"
29.12.2022,6573.47,"6.486,65","6.577,08","6.474,73","41,26M","0,97%"
28.12.2022,6510.49,"6.561,50","6.572,12","6.505,67","40,11M","-0,61%"
27.12.2022,6550.66,"6.559,63","6.579,33","6.543,26","33,01M","0,70%"
