Date,Close,Άνοιγμα,Υψηλό,Χαμηλό,Όγκος,Αλλ.%
24.01.2024,16889.92,"16.793,27","16.921,41","16.760,92","74,57M","1,58%"
23.01.2024,16627.09,"16.753,09","16.753,09","16.626,59","64,37M","-0,34%"
22.01.2024,16683.36,"16.684,10","16.705,49","16.607,72","67,44M","0,77%"
19.01.2024,16555.13,"16.626,53","16.647,85","16.513,46","66,15M","-0,07%"
18.01.2024,16567.35,"16.440,66","16.579,12","16.421,20","72,32M","0,83%"
17.01.2024,16431.69,"16.400,42","16.435,68","16.345,02","71,44M","-0,84%"
16.01.2024,16571.68,"16.497,54","16.581,93","16.476,09","73,10M","-0,30%"
15.01.2024,16622.22,"16.723,24","16.736,16","16.609,22","47,80M","-0,49%"
12.01.2024,16704.56,"16.649,45","16.752,24","16.608,00","62,16M","0,95%"
11.01.2024,16547.03,"16.775,92","16.839,49","16.541,38","72,21M","-0,86%"
10.01.2024,16689.81,"16.703,12","16.753,69","16.654,99","61,30M","0,01%"
09.01.2024,16688.36,"16.743,27","16.743,27","16.611,53","59,80M","-0,17%"
08.01.2024,16716.47,"16.618,51","16.716,47","16.517,49","55,07M","0,74%"
05.01.2024,16594.21,"16.504,88","16.645,89","16.448,71","66,76M","-0,14%"
04.01.2024,16617.29,"16.563,69","16.626,84","16.501,40","65,87M","0,48%"
03.01.2024,16538.39,"16.771,35","16.784,07","16.479,92","70,85M","-1,38%"
02.01.2024,16769.36,"16.828,75","16.963,47","16.648,80","59,89M","0,11%"
29.12.2023,16751.64,"16.729,26","16.758,53","16.726,97","26,86M","0,30%"
28.12.2023,16701.55,"16.780,95","16.783,79","16.688,52","36,09M","-0,24%"
27.12.2023,16742.07,"16.727,77","16.775,71","16.697,58","37,68M","0,21%"
22.12.2023,16706.18,"16.673,30","16.735,32","16.651,78","46,30M","0,11%"
21.12.2023,16687.42,"16.667,31","16.708,35","16.624,16","57,87M","-0,27%"
20.12.2023,16733.05,"16.779,41","16.789,96","16.694,56","63,37M","-0,07%"
19.12.2023,16744.41,"16.657,44","16.750,51","16.656,64","59,22M","0,56%"
18.12.2023,16650.55,"16.683,69","16.744,27","16.624,65","56,72M","-0,60%"
15.12.2023,16751.44,"16.822,50","16.890,11","16.713,70","173,71M","0,00%"
14.12.2023,16752.23,"16.948,79","17.003,28","16.670,35","141,29M","-0,08%"
13.12.2023,16766.05,"16.811,56","16.836,45","16.760,12","65,41M","-0,15%"
12.12.2023,16791.74,"16.823,01","16.837,18","16.753,81","67,86M","-0,02%"
11.12.2023,16794.43,"16.760,59","16.817,81","16.734,27","66,74M","0,21%"
08.12.2023,16759.22,"16.644,62","16.782,72","16.630,18","77,81M","0,78%"
07.12.2023,16628.99,"16.623,89","16.655,30","16.595,11","76,80M","-0,16%"
06.12.2023,16656.44,"16.565,65","16.727,07","16.536,12","78,58M","0,75%"
