Date,Close,Άνοιγμα,Υψηλό,Χαμηλό,Όγκος,Αλλ.%
02.04.2024,11747.93,"11.875,75","11.933,66","11.740,08","-0,81%",
28.03.2024,11844.44,"11.848,70","11.890,67","11.840,61","0,03%",
27.03.2024,11840.54,"11.797,49","11.871,67","11.797,49","0,35%",
26.03.2024,11799.62,"11.757,87","11.819,59","11.740,32","0,40%",
25.03.2024,11753.03,"11.718,24","11.770,00","11.681,76","0,26%",
22.03.2024,11722.67,"11.731,92","11.738,02","11.670,81","-0,36%",
21.03.2024,11764.99,"11.741,72","11.780,35","11.692,38","1,04%",
20.03.2024,11643.89,"11.623,07","11.664,42","11.598,81","-0,11%",
19.03.2024,11657.22,"11.590,03","11.657,22","11.583,77","0,51%",
18.03.2024,11598.64,"11.624,02","11.648,29","11.584,34","-0,05%",
15.03.2024,11605.02,"11.622,28","11.692,60","11.605,02","-0,14%",
14.03.2024,11621.52,"11.655,53","11.711,61","11.606,36","-0,15%",
13.03.2024,11638.81,"11.604,55","11.675,35","11.599,88","0,35%",
12.03.2024,11598.44,"11.492,67","11.602,87","11.465,80","1,07%",
11.03.2024,11475.59,"11.479,75","11.494,74","11.437,00","-0,62%",
08.03.2024,11547.02,"11.579,29","11.606,27","11.547,02","-0,26%",
07.03.2024,11577.54,"11.407,14","11.586,77","11.385,67","1,19%",
06.03.2024,11440.84,"11.383,47","11.452,67","11.380,54","0,46%",
05.03.2024,11388.67,"11.426,71","11.435,29","11.372,37","-0,40%",
04.03.2024,11434.86,"11.415,45","11.440,73","11.399,99","0,37%",
01.03.2024,11392.83,"11.378,21","11.416,08","11.344,36","0,35%",
29.02.2024,11353.05,"11.367,01","11.401,01","11.341,09","-0,12%",
28.02.2024,11367.01,"11.367,17","11.374,95","11.346,46","-0,04%",
27.02.2024,11371.59,"11.324,58","11.376,50","11.320,57","0,44%",
26.02.2024,11321.67,"11.325,36","11.335,96","11.310,50","-0,16%",
23.02.2024,11339.85,"11.304,56","11.361,00","11.288,06","0,35%",
22.02.2024,11299.78,"11.198,93","11.324,69","11.198,93","1,68%",
21.02.2024,11113.5,"11.080,75","11.130,36","11.070,14","0,32%",
20.02.2024,11078.52,"11.073,09","11.093,27","11.052,67","-0,06%",
19.02.2024,11085.01,"11.067,97","11.091,41","11.042,01","-0,05%",
16.02.2024,11091.01,"11.064,91","11.130,89","11.056,37","0,47%",
15.02.2024,11038.7,"10.970,29","11.052,89","10.970,29","0,72%",
14.02.2024,10959.68,"10.905,50","10.968,21","10.895,45","0,43%",
13.02.2024,10913.28,"11.046,34","11.046,34","10.873,03","-1,20%",
12.02.2024,11045.79,"10.985,17","11.045,79","10.985,17","0,65%",
09.02.2024,10974.86,"10.964,28","10.993,24","10.929,80","0,19%",
08.02.2024,10954.51,"10.899,70","10.977,76","10.889,53","0,68%",
07.02.2024,10880.27,"10.909,85","10.917,54","10.878,11","-0,26%",
06.02.2024,10908.21,"10.853,88","10.911,87","10.836,48","0,76%",
05.02.2024,10825.44,"10.827,24","10.853,63","10.786,04","0,03%",
02.02.2024,10822.13,"10.801,74","10.873,65","10.801,74","0,34%",
01.02.2024,10785.04,"10.792,81","10.826,72","10.740,59","-0,21%",
31.01.2024,10807.83,"10.834,51","10.869,08","10.794,56","-0,31%",
30.01.2024,10841.08,"10.805,53","10.852,07","10.793,56","0,50%",
29.01.2024,10786.82,"10.780,79","10.786,82","10.747,52","0,09%",
26.01.2024,10777.44,"10.630,17","10.785,75","10.630,17","1,16%",
25.01.2024,10653.7,"10.607,40","10.659,78","10.568,29","0,40%",
24.01.2024,10611.52,"10.392,21","10.611,52","10.391,79","2,20%",
23.01.2024,10383.2,"10.433,41","10.454,07","10.361,98","-0,32%",
22.01.2024,10416.7,"10.356,56","10.451,84","10.356,56","0,75%",
19.01.2024,10339.43,"10.377,49","10.404,41","10.313,12","-0,09%",
18.01.2024,10349.25,"10.266,78","10.354,88","10.245,52","1,13%",
17.01.2024,10233.11,"10.273,83","10.273,83","10.181,73","-0,98%",
16.01.2024,10334.05,"10.326,39","10.338,56","10.259,51","-0,18%",
15.01.2024,10353.05,"10.421,13","10.433,94","10.344,56","-0,56%",
12.01.2024,10411.15,"10.348,90","10.440,78","10.348,90","0,85%",
11.01.2024,10323.43,"10.414,35","10.480,84","10.321,53","-0,60%",
10.01.2024,10385.5,"10.381,24","10.422,26","10.363,55","0,04%",
09.01.2024,10381.29,"10.427,33","10.427,33","10.333,52","-0,38%",
08.01.2024,10420.73,"10.365,71","10.424,86","10.311,56","0,49%",
05.01.2024,10369.68,"10.358,60","10.396,09","10.264,15","-0,23%",
04.01.2024,10394.08,"10.342,30","10.400,38","10.323,01","0,58%",
03.01.2024,10333.95,"10.487,44","10.490,93","10.299,12","-1,43%",
02.01.2024,10484.22,"10.520,56","10.614,29","10.419,19","-0,15%",
29.12.2023,10500.38,"10.492,17","10.534,71","10.490,30","0,16%",
28.12.2023,10483.49,"10.535,29","10.549,37","10.479,45","-0,31%",
27.12.2023,10515.99,"10.500,71","10.548,40","10.497,74","0,15%",
22.12.2023,10499.97,"10.497,94","10.515,23","10.463,41","-0,07%",
21.12.2023,10507.84,"10.502,31","10.507,84","10.457,91","-0,20%",
20.12.2023,10528.63,"10.538,62","10.557,06","10.486,14","-0,03%",
19.12.2023,10532.3,"10.501,50","10.539,08","10.494,87","0,32%",
18.12.2023,10499.17,"10.543,28","10.546,30","10.480,53","-0,62%",
15.12.2023,10564.91,"10.568,59","10.635,65","10.547,88","0,23%",
14.12.2023,10541.05,"10.546,41","10.666,33","10.487,06","0,20%",
13.12.2023,10520.21,"10.541,71","10.575,80","10.517,42","-0,14%",
12.12.2023,10535.12,"10.553,22","10.592,01","10.531,48","-0,08%",
11.12.2023,10543.43,"10.503,02","10.552,57","10.495,66","0,37%",
08.12.2023,10504.23,"10.396,78","10.523,35","10.396,78","1,11%",
07.12.2023,10389.19,"10.404,86","10.404,86","10.369,39","-0,21%",
06.12.2023,10411.22,"10.357,99","10.439,18","10.353,81","0,68%",
05.12.2023,10340.42,"10.251,14","10.352,15","10.247,29","0,86%",
04.12.2023,10252.59,"10.251,09","10.279,53","10.230,26","-0,05%",
01.12.2023,10257.38,"10.198,26","10.262,16","10.198,26","0,82%",
30.11.2023,10173.72,"10.145,68","10.197,73","10.125,79","0,27%",
29.11.2023,10146.01,"10.078,15","10.172,98","10.078,15","0,52%",
28.11.2023,10093.74,"10.099,13","10.099,13","10.047,56","-0,15%",
27.11.2023,10108.58,"10.144,57","10.160,31","10.105,93","-0,40%",
24.11.2023,10149.65,"10.116,79","10.158,29","10.112,46","0,26%",
23.11.2023,10123.32,"10.103,38","10.128,73","10.098,03","0,21%",
22.11.2023,10101.74,"10.064,05","10.113,53","10.064,05","0,46%",
21.11.2023,10055.03,"10.080,97","10.085,61","10.049,53","-0,24%",
20.11.2023,10079.43,"10.070,12","10.093,55","10.051,73","0,11%",
17.11.2023,10068.75,"9.983,47","10.084,44","9.983,47","0,89%",
16.11.2023,9979.89,"10.010,32","10.028,93","9.979,89","-0,30%",
15.11.2023,10010.23,"9.962,55","10.036,18","9.962,55","0,55%",
14.11.2023,9955,"9.817,39","9.985,14","9.813,93","1,42%",
13.11.2023,9815.36,"9.753,27","9.821,27","9.753,27","0,83%",
10.11.2023,9734.59,"9.783,07","9.783,07","9.685,42","-0,75%",
09.11.2023,9808.44,"9.692,82","9.819,58","9.663,93","1,21%",
08.11.2023,9690.83,"9.621,09","9.735,21","9.586,40","0,60%",
07.11.2023,9632.58,"9.625,96","9.659,27","9.591,19","-0,13%",
06.11.2023,9644.79,"9.690,43","9.714,39","9.629,57","-0,38%",
03.11.2023,9681.98,"9.684,71","9.731,34","9.656,90","0,12%",
02.11.2023,9670.27,"9.513,64","9.713,60","9.513,64","1,91%",
01.11.2023,9489.23,"9.438,06","9.516,90","9.392,20","0,77%",
31.10.2023,9416.65,"9.346,42","9.445,35","9.337,39","0,86%",
30.10.2023,9336.58,"9.325,21","9.389,11","9.325,21","0,35%",
27.10.2023,9304.22,"9.400,96","9.429,75","9.286,33","-0,87%",
26.10.2023,9385.44,"9.434,92","9.434,92","9.312,06","-0,59%",
25.10.2023,9440.95,"9.415,42","9.462,13","9.364,83","0,20%",
24.10.2023,9422.44,"9.376,21","9.443,19","9.332,70","0,58%",
23.10.2023,9367.71,"9.329,98","9.374,36","9.254,94","0,43%",
20.10.2023,9327.8,"9.450,08","9.450,08","9.327,80","-1,60%",
19.10.2023,9479.95,"9.513,46","9.525,10","9.431,19","-0,38%",
18.10.2023,9515.96,"9.624,10","9.644,90","9.502,13","-1,12%",
17.10.2023,9623.63,"9.613,82","9.648,62","9.529,08","0,06%",
16.10.2023,9617.92,"9.588,28","9.649,32","9.527,47","0,33%",
13.10.2023,9586.08,"9.727,88","9.729,73","9.579,16","-1,48%",
12.10.2023,9730.03,"9.740,59","9.814,08","9.720,17","-0,06%",
11.10.2023,9735.98,"9.743,04","9.773,54","9.671,34","-0,11%",
10.10.2023,9746.25,"9.545,16","9.753,68","9.545,16","2,25%",
09.10.2023,9531.49,"9.593,94","9.593,94","9.497,60","-0,74%",
06.10.2023,9602.82,"9.514,16","9.603,36","9.485,99","1,09%",
05.10.2023,9499.44,"9.509,55","9.552,06","9.481,42","0,00%",
04.10.2023,9499.52,"9.464,61","9.561,51","9.411,68","0,10%",
03.10.2023,9489.67,"9.557,75","9.607,56","9.479,03","-1,02%",
02.10.2023,9587.08,"9.688,99","9.741,25","9.544,94","-0,89%",
29.09.2023,9672.88,"9.665,16","9.766,99","9.665,16","0,31%",
28.09.2023,9642.51,"9.572,74","9.642,58","9.514,89","0,72%",
27.09.2023,9573.29,"9.569,18","9.623,68","9.549,27","0,06%",
26.09.2023,9567.49,"9.650,57","9.650,57","9.534,56","-0,92%",
25.09.2023,9655.98,"9.741,36","9.762,25","9.603,48","-0,95%",
22.09.2023,9748.18,"9.757,16","9.774,89","9.681,62","-0,13%",
21.09.2023,9760.75,"9.896,33","9.896,33","9.733,24","-1,48%",
20.09.2023,9907.63,"9.829,85","9.932,07","9.827,90","0,83%",
19.09.2023,9826,"9.832,24","9.875,66","9.797,36","-0,07%",
18.09.2023,9833.37,"9.938,07","9.938,07","9.807,55","-1,13%",
15.09.2023,9945.95,"9.928,80","10.019,70","9.928,80","0,36%",
14.09.2023,9910.51,"9.780,03","9.930,14","9.739,00","1,33%",
13.09.2023,9780.21,"9.811,32","9.815,44","9.723,49","-0,44%",
12.09.2023,9823.72,"9.861,76","9.875,20","9.796,79","-0,28%",
11.09.2023,9851.65,"9.821,77","9.908,68","9.821,77","0,40%",
08.09.2023,9811.95,"9.781,72","9.828,68","9.679,46","0,38%",
07.09.2023,9774.5,"9.808,61","9.848,18","9.748,94","-0,41%",
06.09.2023,9814.44,"9.877,61","9.877,61","9.782,21","-0,72%",
05.09.2023,9885.98,"9.901,65","9.926,77","9.806,40","-0,25%",
